"1","realizacja_1.jpg","Oklejanie samochodu SZEJK-BUD","12","1"
"2","realizacja_2.jpg","Mobilne usługi fryzjerskie Nesti - projekt + wykonanie","12,21","1"
"3","realizacja_3.jpg","Kaseton frezowany dibond","7","1"
"4","realizacja_4.jpg","Tabliczka 3D dibond frezowany","6","1"
"5","realizacja_5.jpg","Nadruk metodą termotransferu","11","1"
"6","realizacja_6.jpg","Nadruk metodą termotransferu","11","1"
"7","realizacja_7.jpg","Karnety Wojjan","13","1"
"8","realizacja_8.jpg","Logo ze styroduru","8","1"
"9","realizacja_9.jpg","Dibond oklejony folią z laminatem","6","1"
"10","realizacja_10.jpg","Dibond oklejony folią z laminatem","6","1"
"11","realizacja_11.jpg","Litery wycinane ploterowo","21","1"
"12","realizacja_12.jpg","Nadruk metodą termotransferu","11","1"
"13","realizacja_13.jpg","Naklejki wycinane ploterowo","17","1"
"14","realizacja_14.jpg","Naklejki wycinane ploterowo","18","1"
"15","realizacja_15.jpg","Roll-up","5","1"
"16","realizacja_16.jpg","Naklejki wycinane ploterowo","17","1"
"17","realizacja_17.jpg","Oklejanie samochodu","19","1"
"18","realizacja_18.jpg","Oklejanie samochodu","19,12","1"
"19","realizacja_19.jpg","Litery wycinane ploterowo","21","1"
"20","realizacja_20.jpg","Oklejanie samochodu STYRCZULA","12","1"
"21","realizacja_21.jpg","Oklejanie samochodu ERPEL","12","1"
